ID,County,Acres,InstallType,UrbanRural,Class,DistSub_100,Percent_100,Substation_100,HIFLD_100,DistSub_200,Percent_200,Substation_200,HIFLD_200,DistSub_CAISO,Percent_CAISO,Substation_CAISO,HIFLD_CAISO,SolarTech,Area,Length
24,Alameda,0.961624496,Parking,Urban,Parking - Urban,0.595020462,0-25,Nummi,305808,2.333377074,0-25,Newark Distribution,309183,5.172150789,50-75,Los Esteros,310258,Within,3891.571547,249.5864488
25,Alameda,1.122459264,Rooftop,Urban,Rooftop - Urban,0.783899278,0-25,Newark Distribution,309183,0.783899278,0-25,Newark Distribution,309183,5.555557256,50-75,Los Esteros,310258,Within,4542.452233,278.2866672
26,Alameda,0.340451976,Rooftop,Urban,Rooftop - Urban,1.034082153,0-25,Newark Distribution,309183,1.034082153,0-25,Newark Distribution,309183,5.551680029,50-75,Los Esteros,310258,Within,1377.78172,286.3000347
27,Alameda,0.810173237,Rooftop,Urban,Rooftop - Urban,1.052538001,0-25,Nummi,305808,1.573584303,0-25,Newark Distribution,309183,5.440805303,50-75,Los Esteros,310258,Within,3278.668251,236.5963734
28,Alameda,2.170497432,Rooftop,Urban,Rooftop - Urban,0.294189546,0-25,Newark Distribution,309183,0.294189546,0-25,Newark Distribution,309183,5.865627495,50-75,Los Esteros,310258,Within,8783.707362,450.117223
29,Alameda,1.502265364,Rooftop,Urban,Rooftop - Urban,0.564515769,0-25,Newark,306611,0.564515769,0-25,Newark,306611,6.404594582,50-75,Los Esteros,310258,Within,6079.476477,318.2185903
30,Alameda,2.181753158,Rooftop,Urban,Rooftop - Urban,0.68690298,0-25,Newark,306611,0.68690298,0-25,Newark,306611,6.532960446,50-75,Los Esteros,310258,Within,8829.275557,398.5490964
31,Alameda,3.258499937,Rooftop,Urban,Rooftop - Urban,1.182126104,0-25,Nummi,305808,2.157686055,0-25,Newark Distribution,309183,5.757208671,50-75,Los Esteros,310258,Within,13186.72254,533.0812
32,Alameda,2.738591225,Rooftop,Urban,Rooftop - Urban,0.662605821,0-25,Newark Distribution,309183,0.662605821,0-25,Newark Distribution,309183,6.316032164,50-75,Los Esteros,310258,Within,11082.7408,443.8068937
33,Alameda,5.214601557,Rooftop,Urban,Rooftop - Urban,2.794623044,50-75,Newark,306611,2.794623044,0-25,Newark,306611,8.31646288,50-75,Los Esteros,310258,Within,21102.89105,690.7043056
34,Alameda,2.921961709,Rooftop,Urban,Rooftop - Urban,1.172002749,0-25,Newark Distribution,309183,1.172002749,0-25,Newark Distribution,309183,6.97703073,50-75,Los Esteros,310258,Within,11824.82183,455.1846329
35,Alameda,13.20324261,Rooftop,Urban,Rooftop - Urban,1.993229144,25-50,Newark,306611,1.993229144,0-25,Newark,306611,7.718455933,50-75,Los Esteros,310258,Within,53431.83585,1127.050913
36,Alameda,2.214075865,Parking,Urban,Parking - Urban,1.695479653,25-50,Newark,306611,1.695479653,0-25,Newark,306611,7.544078917,50-75,Los Esteros,310258,Within,8960.094296,495.2578217
37,Alameda,1.088331543,Parking,Urban,Parking - Urban,1.384356744,25-50,Fremont,302108,2.246482026,0-25,Newark Distribution,309183,6.660162727,50-75,Los Esteros,310258,Within,4404.33932,265.6390489
38,Alameda,1.278571433,Rooftop,Urban,Rooftop - Urban,2.533450607,25-50,Dumbarton,307780,3.082363229,0-25,Newark,306611,8.698641155,50-75,Los Esteros,310258,Within,5174.215787,288.4447822
39,Alameda,5.275538753,Ground,Urban,Ground - Urban,2.543798906,25-50,Nummi,305808,3.911102034,25-50,Newark Distribution,309183,6.837336848,50-75,Los Esteros,310258,Within,21349.43236,660.5520213
40,Alameda,2.524231201,Rooftop,Urban,Rooftop - Urban,2.670670082,25-50,Dumbarton,307780,2.767561071,0-25,Newark,306611,8.49510531,50-75,Los Esteros,310258,Within,10215.20499,477.0814995
41,Alameda,2.578367171,Rooftop,Urban,Rooftop - Urban,0.887976451,0-25,Dumbarton Tap,310572,4.807741435,25-50,Newark,306611,10.39885045,75-100,Los Esteros,310258,Within,10434.31439,480.5672027
42,Alameda,2.820858898,Rooftop,Urban,Rooftop - Urban,0.742739948,0-25,Dumbarton Tap,310572,4.961512724,25-50,Newark,306611,10.54481562,75-100,Los Esteros,310258,Within,11415.65666,427.8016683
43,Alameda,0.950471943,Parking,Urban,Parking - Urban,1.428622632,25-50,Dumbarton,307780,4.049488243,25-50,Newark,306611,9.819859111,75-100,Los Esteros,310258,Within,3846.439009,252.0577264
44,Alameda,0.819693492,Rooftop,Urban,Rooftop - Urban,0.774909899,0-25,Dumbarton,307780,4.9114313,25-50,Newark,306611,10.57373464,75-100,Los Esteros,310258,Within,3317.194942,237.294144
45,Alameda,1.281747724,Rooftop,Urban,Rooftop - Urban,0.575124965,0-25,Dumbarton,307780,4.951697039,25-50,Newark,306611,10.65698297,75-100,Los Esteros,310258,Within,5187.066122,366.1392613
46,Alameda,1.256747447,Parking,Urban,Parking - Urban,0.819308428,0-25,Fremont,302108,3.177168313,25-50,Newark Distribution,309183,8.642348318,50-75,Los Esteros,310258,Within,5085.89463,287.9523601
47,Alameda,1.286299307,Rooftop,Urban,Rooftop - Urban,2.175492654,25-50,Dumbarton,307780,3.83411016,25-50,Newark,306611,9.681390575,75-100,Los Esteros,310258,Within,5205.487353,374.4680107
48,Alameda,0.846399823,Parking,Urban,Parking - Urban,0.76066143,0-25,Fremont,302108,3.387625992,25-50,Newark Distribution,309183,8.737569421,50-75,Los Esteros,310258,Within,3425.270823,364.1097631
49,Alameda,1.602680217,Parking,Urban,Parking - Urban,0.780940958,0-25,Fremont,302108,3.425568591,25-50,Newark Distribution,309183,8.76680985,50-75,Los Esteros,310258,Within,6485.842784,342.1670302
50,Alameda,0.32902768,Ground,Urban,Ground - Urban,2.654661931,25-50,Fremont,302108,5.321938437,25-50,Newark Distribution,309183,9.447368023,75-100,Los Esteros,310258,Within,1331.53312,148.9553493
51,Alameda,3.624487766,Parking,Urban,Parking - Urban,0.675745155,0-25,Air Liquide,306175,5.323556988,25-50,Eastshore,301389,12.33974794,75-100,Los Esteros,310258,Within,14667.83577,583.6074838
52,Alameda,0.58871387,Rooftop,Urban,Rooftop - Urban,0.464867411,0-25,Unknown,306440,6.281008934,50-75,Eastshore,301389,12.09073789,75-100,Los Esteros,310258,Within,2382.450023,195.2813688
53,Alameda,3.405355438,Rooftop,Urban,Rooftop - Urban,2.762876635,25-50,Cryogenics,303469,2.989257329,0-25,Eastshore,301389,14.23093437,75-100,Los Esteros,310258,Within,13781.05203,545.097099
54,Alameda,0.170879694,Parking,Urban,Parking - Urban,2.200948351,25-50,Eastshore,301389,2.200948351,0-25,Eastshore,301389,14.8465474,75-100,Los Esteros,310258,Within,691.5282354,131.3429866
55,Alameda,2.958934743,Rooftop,Urban,Rooftop - Urban,2.55129228,25-50,Cryogenics,303469,3.170497719,25-50,Eastshore,301389,14.26874995,75-100,Los Esteros,310258,Within,11974.43869,447.5192274
56,Alameda,4.339614413,Parking,Urban,Parking - Urban,2.071191647,25-50,Eastshore,301389,2.071191647,0-25,Eastshore,301389,14.87572155,75-100,Los Esteros,310258,Within,17561.82163,572.9734541
57,Alameda,1.840662291,Rooftop,Urban,Rooftop - Urban,2.516410154,25-50,Eastshore,301389,2.516410154,0-25,Eastshore,301389,14.7134411,75-100,Los Esteros,310258,Within,7448.925996,347.1103031
58,Alameda,2.329207698,Rooftop,Urban,Rooftop - Urban,2.299067521,25-50,Cryogenics,303469,3.436470513,25-50,Eastshore,301389,14.19183289,75-100,Los Esteros,310258,Within,9426.007072,475.0233819
59,Alameda,1.242242123,Rooftop,Urban,Rooftop - Urban,2.631290294,25-50,Eastshore,301389,2.631290294,0-25,Eastshore,301389,14.75969066,75-100,Los Esteros,310258,Within,5027.190462,308.350097
60,Alameda,0.501612117,Rooftop,Urban,Rooftop - Urban,2.615693591,25-50,Eastshore,301389,2.615693591,0-25,Eastshore,301389,14.80921963,75-100,Los Esteros,310258,Within,2029.95736,208.919713
61,Alameda,3.383535805,Rooftop,Urban,Rooftop - Urban,1.572748636,25-50,Eastshore,301389,1.572748636,0-25,Eastshore,301389,15.55375266,75-100,Los Esteros,310258,Within,13692.74262,477.3809518
62,Alameda,2.66771919,Rooftop,Urban,Rooftop - Urban,1.709852586,25-50,Eastshore,301389,1.709852586,0-25,Eastshore,301389,15.50603706,75-100,Los Esteros,310258,Within,10795.91258,535.8830782
63,Alameda,0.991116356,Rooftop,Urban,Rooftop - Urban,2.301554607,25-50,Cryogenics,303469,3.659412268,25-50,Eastshore,301389,14.5715179,75-100,Los Esteros,310258,Within,4010.916572,271.7917493
64,Alameda,1.561455087,Rooftop,Urban,Rooftop - Urban,2.167077836,25-50,Cryogenics,303469,3.84578278,25-50,Eastshore,301389,14.49072901,75-100,Los Esteros,310258,Within,6319.007548,365.4988853
65,Alameda,0.55797028,Rooftop,Urban,Rooftop - Urban,2.281879895,25-50,Cryogenics,303469,3.731422099,25-50,Eastshore,301389,14.57976588,75-100,Los Esteros,310258,Within,2258.034698,195.0422798
66,Alameda,1.77290791,Rooftop,Urban,Rooftop - Urban,2.352118809,25-50,Cryogenics,303469,3.616738508,25-50,Eastshore,301389,14.62808032,75-100,Los Esteros,310258,Within,7174.732627,355.4795204
67,Alameda,0.889381146,Rooftop,Urban,Rooftop - Urban,2.36681669,25-50,Cryogenics,303469,3.674941557,25-50,Eastshore,301389,14.67672721,75-100,Los Esteros,310258,Within,3599.213315,249.3151667
68,Alameda,1.298442806,Rooftop,Urban,Rooftop - Urban,0.171016761,0-25,Eastshore,301389,0.171016761,0-25,Eastshore,301389,16.82306302,75-100,Los Esteros,310258,Within,5254.631606,285.3622054
69,Alameda,1.943280535,Rooftop,Urban,Rooftop - Urban,0.634190447,0-25,Eastshore,301389,0.634190447,0-25,Eastshore,301389,16.33295603,75-100,Martin,301170,Within,7864.210245,357.2633937
70,Alameda,1.478273751,Parking,Urban,Parking - Urban,1.34987773,0-25,Eastshore,301389,1.34987773,0-25,Eastshore,301389,16.05945137,75-100,Los Esteros,310258,Within,5982.384923,305.0063289
71,Alameda,0.827710695,Parking,Urban,Parking - Urban,2.71619893,25-50,Cryogenics,303469,3.608677049,25-50,Eastshore,301389,15.09280845,75-100,Los Esteros,310258,Within,3349.643006,234.8052654
72,Alameda,1.422166539,Rooftop,Urban,Rooftop - Urban,0.460998648,0-25,Eastshore,301389,0.460998648,0-25,Eastshore,301389,16.77701111,75-100,Los Esteros,310258,Within,5755.326614,308.0191423
73,Alameda,1.748867555,Rooftop,Urban,Rooftop - Urban,0.155227887,0-25,Eastshore,301389,0.155227887,0-25,Eastshore,301389,16.9655613,75-100,Martin,301170,Within,7077.439225,340.2235166
74,Alameda,1.93974873,Ground,Rural,Ground - Rural,5.461372187,50-75,Las Positas,301848,5.461372187,25-50,Las Positas,301848,7.352585977,50-75,Cayetano,303421,Outside,7849.905793,362.3463032
75,Alameda,13.48938314,Ground,Urban,Ground - Urban,1.298391714,0-25,Eastshore,301389,1.298391714,0-25,Eastshore,301389,15.44033949,75-100,Martin,301170,Within,54589.61403,1235.776649
76,Alameda,1.35548136,Rooftop,Urban,Rooftop - Urban,0.776803263,0-25,Eastshore,301389,0.776803263,0-25,Eastshore,301389,16.68112568,75-100,Martin,301170,Within,5485.460016,307.4947869
77,Alameda,3.604986082,Parking,Urban,Parking - Urban,1.161704315,0-25,Eastshore,301389,1.161704315,0-25,Eastshore,301389,17.29105423,75-100,Martin,301170,Within,14588.91691,572.649463
78,Alameda,1.011846672,Parking,Urban,Parking - Urban,2.934725532,50-75,Eastshore,301389,2.934725532,0-25,Eastshore,301389,16.43643933,75-100,Los Esteros,310258,Within,4094.813832,257.316401
79,Alameda,3.030143724,Rooftop,Urban,Rooftop - Urban,1.695450973,25-50,Eastshore,301389,1.695450973,0-25,Eastshore,301389,15.45990947,75-100,Martin,301170,Within,12262.61974,492.1602412
80,Alameda,0.961913346,Parking,Urban,Parking - Urban,1.444667027,25-50,Eastshore,301389,1.444667027,0-25,Eastshore,301389,16.95737309,75-100,Martin,301170,Within,3892.741137,279.4557435
81,Alameda,1.176303701,Rooftop,Urban,Rooftop - Urban,1.580812758,25-50,Eastshore,301389,1.580812758,0-25,Eastshore,301389,16.09239914,75-100,Martin,301170,Within,4760.351262,282.8395683
82,Alameda,0.575745211,Rooftop,Urban,Rooftop - Urban,1.658362103,25-50,Eastshore,301389,1.658362103,0-25,Eastshore,301389,16.26150859,75-100,Martin,301170,Within,2329.967547,199.1157038
83,Alameda,0.516156692,Parking,Urban,Parking - Urban,2.775564989,50-75,Castro Valley,303892,2.775564989,0-25,Castro Valley,303892,17.2200609,75-100,Los Esteros,310258,Within,2088.822009,208.9388351
84,Alameda,0.999782304,Rooftop,Urban,Rooftop - Urban,1.946986831,25-50,Grant,303596,2.15356797,0-25,Eastshore,301389,15.65932073,75-100,Martin,301170,Within,4045.991636,254.4683171
85,Alameda,1.114529216,Parking,Urban,Parking - Urban,2.005590651,25-50,Grant,303596,2.117121376,0-25,Eastshore,301389,15.71727859,75-100,Martin,301170,Within,4510.356131,299.88785
86,Alameda,0.811256556,Rooftop,Urban,Rooftop - Urban,2.025151996,25-50,Grant,303596,2.240635833,0-25,Eastshore,301389,15.80703689,75-100,Martin,301170,Within,3283.054954,246.3382301
87,Alameda,1.295446018,Rooftop,Urban,Rooftop - Urban,1.6514047,25-50,Grant,303596,2.416869798,0-25,Eastshore,301389,15.40610902,75-100,Martin,301170,Within,5242.504814,281.3427926
88,Alameda,1.637684921,Rooftop,Urban,Rooftop - Urban,1.704069828,25-50,Grant,303596,2.432164856,0-25,Eastshore,301389,15.47423065,75-100,Martin,301170,Within,6627.50155,357.8154515
89,Alameda,1.287686135,Rooftop,Urban,Rooftop - Urban,1.767425841,25-50,Grant,303596,2.424942921,0-25,Eastshore,301389,15.55450136,75-100,Martin,301170,Within,5211.098264,297.1361665
90,Alameda,1.3284623,Rooftop,Urban,Rooftop - Urban,1.62470038,25-50,Grant,303596,2.526445482,0-25,Eastshore,301389,15.43308867,75-100,Martin,301170,Within,5376.108671,338.5436015
91,Alameda,3.892425215,Ground,Urban,Ground - Urban,0.514753254,0-25,Grant,303596,3.332781218,25-50,Eastshore,301389,14.26169625,75-100,Martin,301170,Within,15752.14858,497.5106691
92,Alameda,0.301198905,Parking,Urban,Parking - Urban,2.52162849,25-50,Castro Valley,303892,2.52162849,0-25,Castro Valley,303892,17.35729115,75-100,Martin,301170,Within,1218.913556,174.9916772
93,Alameda,3.250272324,Rooftop,Urban,Rooftop - Urban,2.089070616,25-50,Grant,303596,2.812464607,0-25,Eastshore,301389,15.97081365,75-100,Martin,301170,Within,13153.44806,511.7122457
94,Alameda,0.071117079,Parking,Urban,Parking - Urban,2.497258636,25-50,Castro Valley,303892,2.497258636,0-25,Castro Valley,303892,17.40537796,75-100,Martin,301170,Within,287.8017516,73.80036417
95,Alameda,0.412947521,Parking,Urban,Parking - Urban,2.501410651,25-50,Castro Valley,303892,2.501410651,0-25,Castro Valley,303892,17.33743857,75-100,Martin,301170,Within,1671.146202,232.117745
96,Alameda,1.65404853,Parking,Urban,Parking - Urban,6.234335257,75-100,Las Positas,301848,6.234335257,50-75,Las Positas,301848,6.121739461,50-75,Cayetano,303421,Within,6693.706425,366.8249358
97,Alameda,0.67939023,Parking,Urban,Parking - Urban,6.368095197,75-100,Las Positas,301848,6.368095197,50-75,Las Positas,301848,6.160627473,50-75,Cayetano,303421,Within,2749.405311,215.4210472
98,Alameda,3.054121284,Parking,Urban,Parking - Urban,6.136172098,50-75,San Ramon,309611,6.136172098,25-50,San Ramon,309611,7.297223757,50-75,Cayetano,303421,Within,12359.64661,457.3760235
99,Alameda,1.904289176,Parking,Urban,Parking - Urban,6.395441077,75-100,Las Positas,301848,6.395441077,50-75,Las Positas,301848,6.155273292,50-75,Cayetano,303421,Within,7706.415604,423.2058917
100,Alameda,0.666289899,Parking,Urban,Parking - Urban,1.420552758,25-50,Castro Valley,303892,1.420552758,0-25,Castro Valley,303892,17.00886475,75-100,Cayetano,303421,Within,2696.38983,220.0942931
101,Alameda,0.237281833,Parking,Urban,Parking - Urban,3.540255243,50-75,Las Positas,301848,3.540255243,25-50,Las Positas,301848,4.602083116,25-50,Cayetano,303421,Within,960.2493386,146.2428178
102,Alameda,0.150606846,Parking,Urban,Parking - Urban,2.313255308,25-50,Castro Valley,303892,2.313255308,0-25,Castro Valley,303892,17.24776478,75-100,Martin,301170,Within,609.4867048,117.1276168
103,Alameda,1.41343225,Parking,Urban,Parking - Urban,3.572239411,50-75,Las Positas,301848,3.572239411,25-50,Las Positas,301848,4.595516282,25-50,Cayetano,303421,Within,5719.9702,332.9595177
104,Alameda,0.148418608,Parking,Urban,Parking - Urban,3.56794453,50-75,Las Positas,301848,3.56794453,25-50,Las Positas,301848,4.573364526,25-50,Cayetano,303421,Within,600.6311865,102.7816783
105,Alameda,0.763195251,Parking,Urban,Parking - Urban,2.314841911,25-50,Castro Valley,303892,2.314841911,0-25,Castro Valley,303892,17.18845571,75-100,Martin,301170,Within,3088.556436,239.191391
106,Alameda,0.800873222,Parking,Urban,Parking - Urban,2.272348724,25-50,Castro Valley,303892,2.272348724,0-25,Castro Valley,303892,17.22729218,75-100,Martin,301170,Within,3241.032828,220.520396
107,Alameda,4.516854104,Ground,Urban,Ground - Urban,2.050357969,25-50,Las Positas,301848,2.050357969,0-25,Las Positas,301848,4.459788326,25-50,Cayetano,303421,Within,18279.12827,601.5425847
108,Alameda,11.83203577,Rooftop,Urban,Rooftop - Urban,4.321683546,50-75,Las Positas,301848,4.321683546,25-50,Las Positas,301848,4.157170363,25-50,Cayetano,303421,Within,47882.75097,1191.688676
109,Alameda,1.146598365,Rooftop,Urban,Rooftop - Urban,4.352319017,50-75,Las Positas,301848,4.352319017,25-50,Las Positas,301848,4.118814545,25-50,Cayetano,303421,Within,4640.137521,274.1168072
110,Alameda,1.207975921,Parking,Urban,Parking - Urban,2.045098698,25-50,San Leandro U,304946,3.389416369,25-50,Castro Valley,303892,15.67106439,75-100,Martin,301170,Within,4888.519605,384.5669463
111,Alameda,2.814052998,Rooftop,Urban,Rooftop - Urban,1.745465632,25-50,San Leandro U,304946,3.826753538,25-50,Castro Valley,303892,15.2376961,75-100,Martin,301170,Within,11388.11164,423.7996604
112,Alameda,0.701115322,Ground,Urban,Ground - Urban,0.902217725,0-25,Las Positas,301848,0.902217725,0-25,Las Positas,301848,3.490899113,25-50,Cayetano,303421,Within,2837.324374,213.9022711
113,Alameda,1.170862275,Rooftop,Urban,Rooftop - Urban,0.910781993,0-25,Las Positas,301848,0.910781993,0-25,Las Positas,301848,3.457345371,25-50,Cayetano,303421,Within,4738.329801,359.4414863
114,Alameda,0.394251241,Ground,Urban,Ground - Urban,0.961281653,0-25,Las Positas,301848,0.961281653,0-25,Las Positas,301848,3.423413301,25-50,Cayetano,303421,Within,1595.486032,181.0218541
115,Alameda,0.831380337,Rooftop,Urban,Rooftop - Urban,0.523205341,0-25,Castro Valley,303892,0.523205341,0-25,Castro Valley,303892,16.70409207,75-100,Cayetano,303421,Within,3364.488628,250.4526219
116,Alameda,14.17472529,Ground,Urban,Ground - Urban,0.827122219,0-25,Lawrence Livermore Laboratory,302026,0.971733828,0-25,Las Positas,301848,4.249859215,25-50,Cayetano,303421,Within,57363.33069,1256.704434
117,Alameda,1.000901786,Parking,Urban,Parking - Urban,4.035371089,50-75,San Ramon,309611,4.035371089,25-50,San Ramon,309611,7.151600014,50-75,Cayetano,303421,Within,4050.52716,271.9064002
118,Alameda,0.656989891,Rooftop,Urban,Rooftop - Urban,4.539323454,50-75,San Ramon,309611,4.539323454,25-50,San Ramon,309611,6.444209486,50-75,Cayetano,303421,Within,2658.754381,210.1069864
119,Alameda,1.877797269,Rooftop,Urban,Rooftop - Urban,4.012930884,50-75,San Ramon,309611,4.012930884,25-50,San Ramon,309611,7.109589187,50-75,Cayetano,303421,Within,7599.206651,369.0873143
120,Alameda,2.947563926,Rooftop,Urban,Rooftop - Urban,4.119222714,50-75,San Ramon,309611,4.119222714,25-50,San Ramon,309611,6.8971403,50-75,Cayetano,303421,Within,11928.41292,509.8407136
121,Alameda,1.539846207,Rooftop,Urban,Rooftop - Urban,4.487280363,50-75,San Ramon,309611,4.487280363,25-50,San Ramon,309611,6.356430572,50-75,Cayetano,303421,Within,6231.573596,490.5816069
122,Alameda,3.039181096,Rooftop,Urban,Rooftop - Urban,1.861152542,25-50,Las Positas,301848,1.861152542,0-25,Las Positas,301848,2.686769612,25-50,Cayetano,303421,Within,12299.16908,558.7809718
123,Alameda,2.184576379,Rooftop,Urban,Rooftop - Urban,4.054147722,50-75,San Ramon,309611,4.054147722,25-50,San Ramon,309611,6.831219708,50-75,Cayetano,303421,Within,8840.693184,403.078197
124,Alameda,2.068518419,Rooftop,Urban,Rooftop - Urban,1.726667057,25-50,Las Positas,301848,1.726667057,0-25,Las Positas,301848,2.633356236,0-25,Cayetano,303421,Within,8371.038407,378.5498831
125,Alameda,1.666024722,Parking,Urban,Parking - Urban,1.614595738,25-50,Las Positas,301848,1.614595738,0-25,Las Positas,301848,2.635837383,0-25,Cayetano,303421,Within,6742.164208,542.6546316
126,Alameda,3.613436369,Parking,Urban,Parking - Urban,5.086364487,50-75,San Ramon,309611,5.086364487,25-50,San Ramon,309611,5.326944164,50-75,Cayetano,303421,Within,14623.11722,550.4814851
127,Alameda,3.175007642,Rooftop,Urban,Rooftop - Urban,5.301700886,50-75,San Ramon,309611,5.301700886,25-50,San Ramon,309611,5.106338758,50-75,Cayetano,303421,Within,12848.84777,472.4369054
128,Alameda,1.088338735,Rooftop,Urban,Rooftop - Urban,0.866781504,0-25,Lawrence Livermore,302235,0.866781504,0-25,Lawrence Livermore,302235,4.299893201,25-50,Cayetano,303421,Within,4404.368142,283.2459009
129,Alameda,0.917624062,Parking,Urban,Parking - Urban,1.123873227,0-25,Castro Valley,303892,1.123873227,0-25,Castro Valley,303892,16.83448138,75-100,Cayetano,303421,Within,3713.507707,245.400121
130,Alameda,3.994366424,Rooftop,Urban,Rooftop - Urban,4.297457146,50-75,Las Positas,301848,4.297457146,25-50,Las Positas,301848,3.305275969,25-50,Cayetano,303421,Within,16164.65996,642.542347
131,Alameda,1.62557495,Rooftop,Urban,Rooftop - Urban,4.207349226,50-75,Las Positas,301848,4.207349226,25-50,Las Positas,301848,3.206911777,25-50,Cayetano,303421,Within,6578.493752,355.9089122
